index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	अस्त्रेण		अस्त्रेण	अस्त्र{नपुं;3;एक}	अस्त्र{नपुं;3;एक}	हेतुः,2.1	प्रयोज्य_कर्ता,7.1#कर्ता,2.1#करणम्,14.1#करणम्,4.1#हेतुः,14.1#हेतुः,7.1#हेतुः,4.1#हेतुः,2.1	N3	अस्त्र_से	अस्त्र_से
2.1	उन्मुक्तम्		उन्मुक्तम्	उन्मुक्त{पुं;2;एक(उत्_मुच्1;क्त;भ्वादिः)}	उन्मुक्त{पुं;2;एक(उत्_मुच्1;क्त;भ्वादिः)}	कर्म,4.1	कर्म,14.1#कर्म,7.1#कर्म,4.1	N2	उत्_मुच्1या_हुआ	उत्_मुच्1या_हुआ
3.1	आत्मानं		आत्मानं	आत्मन्{पुं;2;एक}	आत्मन्{पुं;2;एक}	विशेषणम्,2.1	विशेषणम्,13.1#विशेषणम्,2.1#कर्म,14.1#कर्म,7.1#कर्म,4.1	N2	आत्मा	आत्मा
4.1	ज्ञात्वा		ज्ञात्वा	ज्ञा1{अव्य;क्त्वा;क्र्यादिः}	ज्ञा1{अव्य;क्त्वा;क्र्यादिः}	पूर्वकालः,14.1	पूर्वकालः,14.1	NA	जान_कर	जान_कर
5.1	पैतामहात्		पैतामहात्	पैतामह{नपुं;5;एक}	पैतामह{नपुं;5;एक}	विशेषणम्,6.1	तुलना_बिन्दुः,6.1#विशेषणम्,10.1#विशेषणम्,6.1#हेतुः5,14.1#हेतुः5,7.1#हेतुः5,4.1#हेतुः5,2.1#अपादानम्,14.1	N5	पैतामह	पैतामह
6.1	वरात्		वरात्	वर{पुं;5;एक}/वर{नपुं;5;एक}	वर{नपुं;5;एक}	हेतुः,7.1	विशेषणम्,10.1#विशेषणम्,5.1#हेतुः5,14.1#हेतुः5,7.1#हेतुः5,4.1#हेतुः5,2.1#अपादानम्,14.1	N5	श्रेष्ठ_से	श्रेष्ठ_से
7.1	मर्षयन्		मर्षयन्	मर्षयत्{पुं;1;एक(मृष्1;णिजन्त;शतृ_लट्;भ्वादिः)}	मर्षयत्{पुं;1;एक(मृष्1;णिजन्त;शतृ_लट्;भ्वादिः)}	वर्तमानसमानकालः,14.1	वर्तमानसमानकालः,14.1#वर्तमानसमानकालः,2.1#कर्ता,14.1	N1	सिंचवाता_हुआ	सिंचवाता_हुआ
8.1	राक्षसान्		राक्षसान्	राक्षस{पुं;2;बहु}	राक्षस{पुं;2;बहु}	कर्म,7.1	कर्म,14.1#कर्म,7.1#कर्म,4.1	N2	राक्षस	राक्षस
9.1	वीरः		वीरः	वीर{पुं;1;एक}	वीर{पुं;1;एक}	कर्ता,14.1;कर्ता,4.1	विशेषणम्,14.1#विशेषणम्,7.1#कर्ता,14.1	N1	वीर	वीर
10.1	यन्त्रिणः		यन्त्रिणः	यन्त्रिन्{पुं;1;बहु}/यन्त्रिन्{पुं;2;बहु}/यन्त्रिन्{पुं;5;एक}/यन्त्रिन्{पुं;6;एक}/यन्त्रिन्{नपुं;5;एक}/यन्त्रिन्{नपुं;6;एक}/यन्त्रिन्{पुं;8;बहु}	यन्त्रिन्{पुं;6;एक}	षष्ठीसम्बन्धः,9.1	सम्बोध्यः,14.1#कर्ता,14.1#कर्म,14.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,2.1#तुलना_बिन्दुः,6.1#विशेषणम्,6.1#विशेषणम्,5.1#हेतुः5,14.1#हेतुः5,7.1#हेतुः5,4.1#हेतुः5,2.1#अपादानम्,14.1#विशेषणम्,11.1#विशेषणम्,8.1#कर्म,7.1#कर्म,4.1	N6	जो_जीन_व_साज_से_सुसज्जित_हो_की	जो_जीन_व_साज_से_सुसज्जित_हो_की
11.1	तान्		तान्	तद्{सर्वनाम;पुं;2;बहु}	तद्{सर्वनाम;पुं;2;बहु}	विशेषणम्,8.1	विशेषणम्,10.1#विशेषणम्,8.1#कर्म,14.1#कर्म,7.1#कर्म,4.1	N2	उन	उन
12.1	यदृच्छया		यदृच्छया	यदृच्छा{स्त्री;3;एक}	यदृच्छा{स्त्री;3;एक}	हेतुः,14.1	प्रयोज्य_कर्ता,7.1#कर्ता,2.1#हेतुः,14.1#हेतुः,7.1#हेतुः,4.1#हेतुः,2.1	N3	स्वेच्छा_से	स्वेच्छा_से
13.1	रावणं		रावणं	रावण{पुं;2;एक}	रावण{पुं;2;एक}	कर्म,14.1	कर्म,14.1#कर्म,7.1#कर्म,4.1	N2	रावण_को	रावण_को
14.1	प्राप्तवान्		प्राप्तवान्	प्राप्तवत्{पुं;1;एक(प्र_आप्1;क्तवतु;स्वादिः)}	प्राप्तवत्{पुं;1;एक(प्र_आप्1;क्तवतु;स्वादिः)}		-	N1	प्राप्त_हुआ	प्राप्त_हुआ
15.1	.		.	-	-	-	-	FS	-	-

