index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	तेन		तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः}	तद्{सर्वनाम;पुं;3;एक}	कर्ता,6.1	विशेषणम्,4.1#कर्ता,6.1#करणम्,6.1#हेतुः,6.1#हेतुः,4.1#विशेषणम्,6.1	N3	उससे	उससे
2.1	तत्र		तत्र	तत्र{अव्य}	तत्र{अव्य}	देशाधिकरणम्,6.1	देशाधिकरणम्,6.1#देशाधिकरणम्,1.1	NA	वहाँ	वहाँ
3.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	ही	ही
4.1	वसता		वसता	वसत्{पुं;3;एक(वस्1;शतृ_लट्;भ्वादिः)}/वसत्{नपुं;3;एक(वस्1;शतृ_लट्;भ्वादिः)}	वसत्{पुं;3;एक(वस्1;शतृ_लट्;भ्वादिः)}	विशेषणम्,1.1	विशेषणम्,1.1#कर्ता,6.1#करणम्,6.1#हेतुः,6.1#हेतुः,1.1#विशेषणम्,6.1	N3	रहते_हुए	रहते_हुए
5.1	जन-		जन-स्थान-निवासिनी	जन	जन	षष्ठ्-तत्पुरुष,5.2	षष्ठ्-तत्पुरुष,5.2	CP	जन-	जन-
5.2	स्थान-		--	स्थान	स्थान	सप्तमी-तत्पुरुष,5.3	सप्तमी-तत्पुरुष,5.3	CP	स्थान-	स्थान-
5.3	निवासिनी		--	निवासिनी{स्त्री;1;एक}	निवासिनी{स्त्री;1;एक}	विशेषणम्,8.1	विशेषणम्,9.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,6.1#कर्म,6.1	N1	निवासिनी	निवासिनी
6.1	कृता		कृता	कृत्{पुं;3;एक}/कृता{स्त्री;1;एक(कृ2;क्त;स्वादिः)}/कृता{स्त्री;1;एक(कृ3;क्त;तनादिः)}	कृता{स्त्री;1;एक(कृ3;क्त;तनादिः)}		हेतुः,4.1#हेतुः,1.1	N1	कृत	कृत
7.1	विरूपिता		विरूपिता	विरूपिता{स्त्री;1;एक}	विरूपिता{स्त्री;1;एक}	विशेषणम्,8.1	विशेषणम्,9.1#विशेषणम्,8.1#विशेषणम्,6.1#विशेषणम्,5.3#कर्मसमानाधिकरणम्,8.1#कर्म,6.1	N1	विरूपिता	विरूपिता
8.1	शूर्पणखा		शूर्पणखा	शूर्पणखा{स्त्री;1;एक}	शूर्पणखा{स्त्री;1;एक}	कर्म,6.1	कर्म,6.1	N1	शूर्पणखा	शूर्पणखा
9.1	राक्षसी		राक्षसी	राक्षसी{स्त्री;1;एक}	राक्षसी{स्त्री;1;एक}	विशेषणम्,8.1	विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,5.3#कर्मसमानाधिकरणम्,8.1#कर्म,6.1#अभेदः,8.1	N1	राक्षसी	राक्षसी
10.1	काम-		काम-रूपिणी	काम	काम	षष्ठी-बहुव्रीहि,10.2	षष्ठी-बहुव्रीहि,10.2	CP	काम-	काम-
10.2	रूपिणी		--	रूपिन्{नपुं;1;द्वि}/रूपिन्{नपुं;2;द्वि}/रूपिन्{नपुं;8;द्वि}	रूपिन्{नपुं;8;द्वि}	सम्बोध्यः,6.1	सम्बोध्यः,6.1#कर्म,1.1	N8	रूपी	रूपी
11.1	.		.	-	-	-	-	FS	-	-

