index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	रामः		रामः	राम{पुं;1;एक}	राम{पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	राम_ने	राम_ने
2.1	अपि		अपि	अपि{अव्य}	अपि{अव्य}	समुच्चय_द्योतकः,1.1	सुप्_समुच्चितः,6.1#सुप्_समुच्चय_द्योतकः,1.1#सम्बन्धः,1.1	NA	भी	भी
3.1	परम-		परम-उदारः	परम	परम	कर्मधारय,3.2	कर्मधारय,3.2	CP	परम-	परम-
3.2	उदारः		--	उत्_ऋ2{कर्तरि;लुङ्;म;एक;परस्मैपदी;जुहोत्यादिः}/उदार{पुं;1;एक(उत्_ऋ1;घञ्;भ्वादिः)}/उदार{पुं;1;एक(उत्_ऋ2;घञ्;जुहोत्यादिः)}	उदार{पुं;1;एक(उत्_ऋ1;घञ्;भ्वादिः)}	विशेषणम्,4.1	विशेषणम्,11.1#विशेषणम्,5.3#विशेषणम्,4.1#कर्ता,8.1	N1	उदार	उदार
4.1	सुमुखः		सुमुखः	सुमुख{पुं;1;एक}	सुमुख{पुं;1;एक}	समुच्चितः,1.1	विशेषणम्,5.3#विशेषणम्,3.2#विशेषणम्,1.1#सुप्_समुच्चितः,1.1#कर्ता,8.1	N1	सुहावना	सुहावना
5.1	सु-		सु-महा-यशाः	सु	सु	बहुव्रीहि,5.3	बहुव्रीहि,5.3	CP	सु-	सु-
5.2	महा-		--	महा}/महत्	महा	कर्मधारय,5.3	कर्मधारय,5.3	CP	महा-	महा-
5.3	यशाः		--	यशस्{पुं;1;एक}	यशस्{पुं;1;एक}	समुच्चितः,1.1	विशेषणम्,4.1#विशेषणम्,3.2#विशेषणम्,1.1#सुप्_समुच्चितः,1.1#कर्ता,8.1	N1	यशस्	यशस्
6.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,8.1	प्रतिषेधः,8.1	NA	नहीं	नहीं
7.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सुप्_समुच्चय_द्योतकः,6.1#सम्बन्धः,6.1	NA	च1	च1
8.1	ऐच्छत्		ऐच्छत्	इष्2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;तुदादिः}	इष्2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;तुदादिः}	अभिहित_कर्ता,1.1	-	KP	इच्छा_की	इच्छा_की
9.1	पितुः		पितुः	पितृ{पुं;5;एक}/पितृ{पुं;6;एक}	पितृ{पुं;5;एक}	हेतुः,8.1	कर्ता,10.1#कर्म,10.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.2#हेतुः5,10.1#हेतुः5,8.1#हेतुः5,3.2	N5	पिता_से	पिता_से
10.1	आदेशात्		आदेशात्	आदेश{पुं;5;एक(आङ्_दिश्1;घञ्;तुदादिः)}	आदेश{पुं;5;एक(आङ्_दिश्1;घञ्;तुदादिः)}	विशेषणम्,9.1	विशेषणम्,9.1#हेतुः5,8.1#हेतुः5,3.2	N5	आदेश	आदेश
11.1	राज्यं		राज्यं	राज्य{नपुं;1;एक}/राज्य{नपुं;2;एक}	राज्य{नपुं;1;एक}	समुच्चितः,1.1	कर्म,8.1#सुप्_समुच्चितः,1.1	N1	राज्य	राज्य
12.1	.		.	-	-	-	-	FS	-	-

