index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,6.1	विशेषणम्,4.1#विशेषणम्,3.2#विशेषणम्,2.1#सुप्_समुच्चितः,4.1#कर्ता_बे_वेर्ब्स्,6.1	N1	वह	वह
2.1	साधुः		साधुः	साधु{पुं;1;एक}	साधु{पुं;1;एक}	समुच्चितः,4.1	विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,4.1#कर्ता_बे_वेर्ब्स्,6.1	N1	साधु	साधु
3.1	अ-		अ-दीन-आत्मा	अ-	अ-	नञ्-तत्पुरुष,3.2	नञ्-तत्पुरुष,3.2	CP	अ-	अ-
3.2	दीन-		-	दीन	दीन	षष्ठी-बहुव्रीहि,3.3	षष्ठी-बहुव्रीहि,3.3	CP	दीन-	दीन-
3.3	आत्मा		--	आत्मन्{पुं;1;एक}	आत्मन्{पुं;1;एक}	समुच्चितः,4.1	विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,4.1#कर्ता_बे_वेर्ब्स्,6.1	N1	आत्मा	आत्मा
4.1	विचक्षणः		विचक्षणः	विचक्षण{पुं;1;एक}	विचक्षण{पुं;1;एक}	विधेय_विशेषणम्,1.1	विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,6.1	N1	स्पष्टदर्शी	स्पष्टदर्शी
5.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,4.1	सुप्_समुच्चय_द्योतकः,4.1#सम्बन्धः,4.1	NA	च2	च2
6.1	अस्ति		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,1.1	-	KP	है	है
7.1	.		.	-	-	-	-	FS	-	-

