index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अश्वमेध-		अश्वमेध-शतैः	अश्वमेध	अश्वमेध	षष्ठी-तत्पुरुष,1.2	षष्ठी-तत्पुरुष,1.2	CP	अश्वमेध-	अश्वमेध-
1.2	शतैः		--	शत{नपुं;3;बहु}/शत{पुं;3;बहु}	शत{नपुं;3;बहु}	कर्म,2.1	कर्म,2.1#हेतुः,15.1#हेतुः,10.1#हेतुः,5.1#हेतुः,4.1#हेतुः,2.1	N3		
2.1	इष्ट्वा		इष्ट्वा	इष्2{अव्य;क्त्वा;तुदादिः}/यज्1{अव्य;क्त्वा;भ्वादिः}	यज्1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1#पूर्वकालः,4.1	NA	यज्ञ_करके	यज्ञ_करके
3.1	गवां		गवां	गो{पुं;6;बहु}/गो{स्त्री;6;बहु}	गो{पुं;6;बहु}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1	N6	गायों_की	गायों_की
4.1	कोटि		कोटि-अयुतं	कोटि	कोटि	षष्ठी-तत्पुरुष,4.2	षष्ठी-तत्पुरुष,4.2	CP	कोटि-	कोटि-
4.2	अयुतं			यु1{कर्तरि;लङ्;म;द्वि;परस्मैपदी;अदादिः}/अयुत{संख्येयम्;नपुं;1;एक}/अयुत{संख्येयम्;नपुं;2;एक}	अयुत{संख्येयम्;नपुं;2;एक}	कर्म,5.1	विशेषणम्,9.1#विशेषणम्,8.2#विशेषणम्,7.2#प्रयोज्यकर्ता,15.1#कर्म,10.1#कर्म,5.1#कर्म,2.1#प्रयोजककर्ता,15.1	N2	अयुत_को	अयुत_को
5.1	दत्त्वा		दत्त्वा	दा1{अव्य;क्त्वा;भ्वादिः}	दा1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1#पूर्वकालः,4.1	NA	दे_कर	दे_कर
6.1	विद्वद्भ्यः		विद्वद्भ्यः	विद्वस्{पुं;4;बहु}/विद्वस्{पुं;5;बहु}	विद्वस्{पुं;4;बहु}	सम्प्रदानम्,5.1	विशेषणम्,11.1#हेतुः5,15.1#हेतुः5,10.1#हेतुः5,5.1#हेतुः5,4.1#हेतुः5,2.1#सम्प्रदानम्,10.1#सम्प्रदानम्,5.1#प्रयोजनम्1,15.1#प्रयोजनम्1,4.1#प्रयोजनम्1,2.1	N4	विद्वानों_को	विद्वानों_को
7.1	विधि-		विधि-पूर्वकम्	विधि	विधि	बहुव्रीहि,7.2	बहुव्रीहि,7.2	CP	विधि-	विधि-
7.2	पूर्वकम्		--	पूर्वक{पुं;2;एक}/पूर्वक{नपुं;1;एक}/पूर्वक{नपुं;2;एक}	पूर्वक{नपुं;2;एक}	क्रियाविशेषणम्,5.1	क्रियाविशेषणम्,15.1#क्रियाविशेषणम्,10.1#क्रियाविशेषणम्,5.1#क्रियाविशेषणम्,4.1#क्रियाविशेषणम्,2.1#प्रयोज्यकर्ता,15.1	N2	पूर्वक	पूर्वक
8.1	अ-		अ-संख्येयं	अ	अ	नञ्-तत्पुरुष,8.2	नञ्-तत्पुरुष,8.2	CP	अ-	अ-
8.2	संख्येयं		--	सङ्ख्येय{पुं;2;एक}/सङ्ख्येय{नपुं;1;एक}/सङ्ख्येय{नपुं;2;एक}	सङ्ख्येय{नपुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1#विशेषणम्,7.2#विशेषणम्,4.1#प्रयोज्यकर्ता,15.1#कर्म,10.1#कर्म,5.1#कर्म,4.1#कर्म,2.1#प्रयोजककर्ता,15.1	N2	सङ्ख्येय	सङ्ख्येय
9.1	धनं		धनं	धन{नपुं;1;एक}/धन{नपुं;2;एक}	धन{नपुं;2;एक}	कर्म,10.1	प्रयोज्यकर्ता,15.1#कर्म,10.1#कर्म,5.1#कर्म,4.1#कर्म,2.1#प्रयोजककर्ता,15.1	N2	धन	धन
10.1	दत्त्वा		दत्त्वा	दा1{अव्य;क्त्वा;भ्वादिः}	दा1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1#पूर्वकालः,4.1	NA	दे_कर	दे_कर
11.1	ब्राह्मणेभ्यः		ब्राह्मणेभ्यः	ब्राह्मण{पुं;4;बहु}/ब्राह्मण{पुं;5;बहु}	ब्राह्मण{पुं;4;बहु}	सम्प्रदानम्,10.1	हेतुः5,15.1#हेतुः5,10.1#हेतुः5,5.1#हेतुः5,4.1#हेतुः5,2.1#सम्प्रदानम्,10.1#सम्प्रदानम्,5.1#प्रयोजनम्1,15.1#प्रयोजनम्1,4.1#प्रयोजनम्1,2.1	N4	ब्राह्मणों_को	ब्राह्मणों_को
12.1	महा-		महा-यशाः	महा}/महत्	महा	षष्ठी-बहुव्रीहि,12.2	षष्ठी-बहुव्रीहि,12.2	CP	महा-	महा-
12.2	यशाः		--	यशस्{पुं;1;एक}	यशस्{पुं;1;एक}	प्रयोजककर्ता,15.1;प्रयोजककर्ता,10.1;प्रयोजककर्ता,5.1;प्रयोजककर्ता,2.1	प्रयोजककर्ता,15.1	N1	यशस्	यशस्
13.1	राज-		राज-वंशान्	राजन्	राजन्	षष्ठी-तत्पुरुष,13.2	षष्ठी-तत्पुरुष,13.2	CP	राज-	राज-
13.2	वंशान्		--	वंश{पुं;2;बहु}	वंश{पुं;2;बहु}	विशेषणम्,14.2	विशेषणम्,14.2#प्रयोज्यकर्ता,15.1#कर्म,10.1#कर्म,5.1#कर्म,4.1#कर्म,2.1	N2	वंश	वंश
14.1	शत-		शत-गुणान्	शत	शत	षष्ठी-बहुव्रीहि,14.2	षष्ठी-बहुव्रीहि,14.2	CP	शत-	शत-
14.2	गुणान्		--	गुण{पुं;2;बहु}	गुण{पुं;2;बहु}	प्रयोज्यकर्ता,15.1	विशेषणम्,13.2#प्रयोज्यकर्ता,15.1#कर्म,10.1#कर्म,5.1#कर्म,4.1#कर्म,2.1	N2	गुणों_को	गुणों_को
15.1	स्थापयिष्यति		स्थापयिष्यति	ष्था1{णिजन्त;कर्तरि;लृट्;प्र;एक;परस्मैपदी;भ्वादिः}	ष्था1{णिजन्त;कर्तरि;लृट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,12.2;सकर्मक	-	KP	रखेगा	रखेगा
16.1	.		.	-	-	-	-	FS	-	-
