index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	सः		सः	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,5.1	विशेषणम्,3.2#विशेषणम्,2.2#सुप्_समुच्चितः,3.2#कर्ता_बे_वेर्ब्स्,5.1	N1	वह	वह
2.1	सु-		सु-ललाटः	सु	सु	बहुव्रीहि,2.2	बहुव्रीहि,2.2	CP	सु-	सु-
2.2	ललाटः		--	ललाट{पुं;1;एक}	ललाट{पुं;1;एक}	समुच्चितः,3.2	विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,3.2#कर्ता_बे_वेर्ब्स्,5.1	N1	ललाट	ललाट
3.1	सु-		सु-विक्रमः	सु	सु	बहुव्रीहि,3.2	बहुव्रीहि,3.2	CP	सु-	सु-
3.2	विक्रमः		--	विक्रम{पुं;1;एक}/विक्रम{पुं;1;एक(वि_क्रम्1;घञ्;भ्वादिः)}	विक्रम{पुं;1;एक}	विधेय_विशेषणम्,1.1	विधेय_विशेषणम्,2.2#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,5.1	N1	विक्रम	विक्रम
4.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.2	सुप्_समुच्चय_द्योतकः,3.2#सम्बन्धः,3.2	NA	च2	च2
5.1	अस्ति		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अभिहित_कर्ता,1.1	-	KP	है	है
6.1	.		.	-	-	-	-	FS	-	-

