(dofw somavAra Mon)
(dofw somavAsara_1 Mon)
(dofw somavAra_1 Mon)
(dofw caMxravAra_1 Mon)
(dofw soma_1 Mon)
(dofw maMgalavAra Tue)
(dofw maMgala_1 Tue)
(dofw maMgalavAra_1 Tue)
(dofw maMgalavAsara_1 Tue)
(dofw buXavAra Wed)
(dofw buXavAra_1 Wed)
(dofw buXavAsara_1 Wed)
(dofw buXa_1 Wed)
(dofw buGa_1 Wed)
(dofw guruvAra Thru)
(dofw bqhaspawwi_1 Thru)
(dofw bqhaspawivAra_1 Thru)
(dofw bqhaspawivAsara_1 Thru)
(dofw guruvAra_1 Thru)
(dofw guruvAsara_1 Thru)
(dofw gurUvAra_ Thru)
(dofw SukravAra Fri)
(dofw SukravAsara Fri)
(dofw Sukra Fri)
(dofw jumA Fri)
(dofw jumerAwa_1 Fri)
(dofw jummA_1 Fri)
(dofw SanivAra Sat)
(dofw SanivAsara Sat)
(dofw sanIcara Sat)
(dofw SanivAra_1 Sat)
(dofw ravivAra Sun)
(dofw ravivAra_1 Sun)
(dofw ravivAsara_1 Sun)
(dofw ravixina_1 Sun)
(dofw iwavAra_1 Sun)
(dofw somavAra Mon)
(dofw somavAra_1 Mon)
(dofw caMxravAra_1 Mon)
(dofw soma_1 Mon)
(dofw maMgalavAra Tue)
(dofw maMgala_1 Tue)
(dofw maMgalavAra_1 Tue)
(dofw maMgalavAsara_1 Tue)
(dofw buXavAra Wed)
(dofw buXavAra_1 Wed)
(dofw buXa_1 Wed)
(dofw buGa_1 Wed)
(dofw guruvAra Thru)
(dofw bqhaspawwi_1 Thru)
(dofw bqhaspawivAra_1 Thru)
(dofw guruvAra_1 Thru)
(dofw gurUvAra_ Thru)
(dofw SukravAra Fri)
(dofw Sukra Fri)
(dofw jumA Fri)
(dofw jumerAwa_1 Fri)
(dofw jummA_1 Fri)
(dofw SanivAra Sat)
(dofw sanIcara Sat)
(dofw SanivAra_1 Sat)
(dofw ravivAra Sun)
(dofw ravivAra_1 Sun)
(dofw ravixina_1 Sun)
(dofw iwavAra_1 Sun)
